Должность;Тип
Аппаратчик стерилизации консервов 1 класса;Производство
Боцман;Судовая команда
Бригадир;Производство
Буфетчик;Обслуживающий
Бухгалтер;Обслуживающий
Вахтенный механик;Командный состав
Врач-стоматолог;Командный состав
Врач-терапевт;Командный состав
Второй механик;Командный состав
Второй механик паросиловой установки;Производство
Второй механик рефрижераторных установок;Производство
Второй механик ТО;Производство
Второй механик-наладчик;Производство
Второй помощник капитана;Командный состав
Второй электромеханик (судовой);Командный состав
Второй электромеханик по судовой автоматике;Командный состав
Газоэлектросварщик;Производство
Главный механик;Командный состав
Грузчик;Производство
Групповой рефрижераторный механик;Производство
Дублер главного механика;Командный состав
Дублер капитана;Командный состав
Дублер капитана-директора;Командный состав
Дублер старшего механика;Командный состав
Дублер третьего механика;Командный состав
Дублер третьего механика рефрижераторных установок;Производство
Заведующий медико-санитарной службой - врач-травматолог-ортопед;Командный состав
Заведующий медико-санитарной службой - врач-хирург;Командный состав
Заведующий продовольственными товарами;Обслуживающий
Заведующий сектором продовольствия и снабжения;Обслуживающий
Заведующий химической лабораторией;Производство
Закатчик 1 класса;Производство
Инженер-химик;Производство
Инженер-электроник;Производство
Инженер-электронщик;Производство
Камбузник;Обслуживающий
Капитан;Командный состав
Капитан-директор;Командный состав
Капитан-наставник;Командный состав
Консультант по работе в зоне КНДР;Производство
Контролер;Производство
Контролер исполнения регламента;Производство
Котельный машинист;Судовая команда
Лаборант;Производство
Мастер икорного цеха;Производство
Мастер по добыче рыбы;Производство
Мастер по обработке рыбы;Производство
Мастер по обработке рыбы (икорный цех);Производство
Мастер по обработке рыбы (ликвидная продукция);Производство
Мастер по обработке рыбы (цех заморозки);Производство
Матрос;Судовая команда
Матрос 1 класса;Судовая команда
Матрос 1 класса службы обработки рыбы;Производство
Матрос 2 класса;Судовая команда
Матрос 2 класса службы обработки рыбы;Производство
Матрос без класса (дневальный);Судовая команда
Матрос службы обработки рыбы;Производство
Матрос-обработчик;Производство
Матрос-обработчик 1 класса;Производство
Матрос-официант;Обслуживающий
Матрос-плотник;Производство
Матрос-приемщик;Производство
Матрос-уборщик;Обслуживающий
Матрос-электрогазосварщик;Производство
Машинист закаточных машин 1 класса;Производство
Машинист котельной установки;Производство
Машинист крана (крановщик);Производство
Машинист по стирке белья;Обслуживающий
Машинист помповой (донкерман);Производство
Машинист рефрижераторных установок;Производство
Машинист рефрижераторных установок 1 класса;Производство
Машинист рефрижераторных установок 2 класса;Производство
Машинист рыбомучной установки;Производство
Механик по крановому хозяйству;Производство
Механик по ремонту кранового оборудования;Производство
Механик по судовым системам;Командный состав
Механик рефрижераторных установок;Производство
Механик рыбомучной установки;Производство
Механик участка рыбомучной установки;Производство
Моторист;Судовая команда
Моторист (машинист) трюмный 1 класса;Судовая команда
Моторист 1 класса;Судовая команда
Моторист 2 класса;Судовая команда
Моторист-сварщик;Судовая команда
Моторист-токарь;Судовая команда
Наладчик оборудования в производстве пищевой продукции;Производство
Начальник лаборатории;Производство
Начальник радиостанции;Командный состав
Начальник цеха;Производство
Обработчик рыбы;Производство
Оператор стиральных машин;Обслуживающий
Оператор этикетировочного станка;Производство
Операционная медсестра;Обслуживающий
Официант;Обслуживающий
Пекарь;Обслуживающий
Повар;Обслуживающий
Повар 1 категории;Обслуживающий
Повар 2 категории;Обслуживающий
Повар судовой;Обслуживающий
Повар-пекарь;Обслуживающий
Помощник капитана по медицине;Командный состав
Помощник капитана по производству;Командный состав
Помощник капитана по радиоэлектронике;Командный состав
Практикант;Производство
Пятый помощник капитана (по ПТЧ и ОТ);Командный состав
Санитарка;Обслуживающий
Системный слесарь;Производство
Слесарь;Производство
Слесарь по контрольно-измерительным приборам и автоматике;Производство
Слесарь по электрокарам;Производство
Слесарь ТО;Производство
Слесарь-дизелист;Производство
Слесарь-наладчик;Производство
Слесарь-наладчик ТО;Производство
Слесарь-ремонтник;Производство
Сотрудник службы охраны;Обслуживающий
Специалист по учету данных производственной статистики;Производство
Старший аппаратчик стерилизации консервов;Производство
Старший инженер отдела дефектации и ценообразования;Производство
Старший мастер по добыче рыбы;Производство
Старший мастер по обработке рыбы;Производство
Старший матрос;Судовая команда
Старший матрос службы обработки рыбы;Производство
Старший матрос-плотник;Судовая команда
Старший машинист закаточных машин;Производство
Старший механик;Командный состав
Старший механик рефрижераторных установок;Производство
Старший механик ТО;Производство
Старший механик-наладчик;Производство
Старший моторист;Судовая команда
Старший официант;Обслуживающий
Старший помощник капитана;Командный состав
Старший специалист;Производство
Старший электрик (обмотчик);Производство
Старший электромеханик;Командный состав
Старший электромеханик (судовой);Командный состав
Старший электромеханик по судовой автоматике;Командный состав
Судовой врач;Командный состав
Технолог;Производство
Технолог ОТК;Производство
Токарь;Производство
Токарь-моторист;Производство
Токарь-фрезеровщик;Производство
Третий механик;Командный состав
Третий механик рефрижераторных установок;Производство
Третий механик-наладчик;Производство
Третий помощник капитана;Командный состав
Третий электромеханик;Командный состав
Третий электромеханик (судовой);Командный состав
Трюмный матрос;Судовая команда
Трюмный матрос (штабелевщик);Судовая команда
Трюмный машинист;Судовая команда
Уборщик производственных и служебных помещений;Обслуживающий
Фельдшер;Обслуживающий
Фрезеровщик;Производство
Четвертый механик;Командный состав
Четвертый механик рефрижераторных установок;Производство
Четвертый помощник капитана;Командный состав
Четвертый электромеханик (судовой);Командный состав
Шеф-повар;Обслуживающий
Электрик;Производство
Электрик судовой;Судовая команда
Электрик судовой 1 класса;Судовая команда
Электрик судовой 1 класса (завод);Судовая команда
Электрик судовой 1 класса (МКО);Судовая команда
Электрик участка автокаров;Производство
Электрик участка автоматики;Производство
Электрик-практикант;Производство
Электрогазосварщик;Производство
Электрогазосварщик 4 разряда;Производство
Электромеханик;Командный состав
Электромеханик (судовой);Командный состав
Электромеханик по автоматике;Командный состав
Электрорадионавигатор;Командный состав
